name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
PatentsKart,https://patentskart.com/,None,"PatentsKart is a patent research services and analytics firm that helps clients protect their intellectual property and gain a competitive advantage. We offer patent search, analysis, drafting, and monitoring services to inventors, startups, and corporations. Our experienced team provides high-quality services at a competitive price using the latest tools and techniques. Contact us to learn how we can help you protect your intellectual property and achieve your business goals.
Email: info@patentskart.com
Contact No.: +1-425-362-0183, +91-896-847-7887
Address: United States-13521, 58th St. SE Snohomish, WA – 98290, USA
INDIA - PatentsKart B1, Netsmartz House, IT Park, Chandigarh - 160101
Website:   https://patentskart.com/","United States, Snohomish, WA 98290",['IT.Service'],None,None,None,2016/04/12,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
New Wave Billiards & Sports Bar,https://newwavebilliards.com,None,Phone : 305-220-4790,"United States, Miami, FL 33174",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Zoy,https://meetzoy.com,None,"Develop social-emotional skills with kid-tested, psychologist and parent-approved, tiny-knee-slapping stories from Zoy. Our team of experts, including child psychologists, occupational therapists, educators, and SEL experts, have created a library of fun and engaging stories that are targeted at developing all social-emotional skills in young children.","United States, San Diego, CA 92101",['Education'],Shipping,None,None,2022/02/24,None,50,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Jewel Capital Bathroom Pros,https://www.bathroomremodeling-providence.com/,None,"Description:
	We are dedicated to transforming your outdated bathroom into a luxurious and functional space. Our team of experienced remodelers in Providence will work closely with you to create a custom design that fits your style and budget. From updating your fixtures to installing new tile and countertops, we will handle every aspect of your bathroom remodel with precision and attention to detail. We use only the highest quality materials and employ the latest techniques. 
Business Hours:
	Mon-Fri: 8:00 am - 8:00 pm
	Sat: 8:00 am - 4:00 pm
	Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone:
	401-200-4834
Contact Email:
john@bathroomremodeling-providence.com","United States, Providence, RI 02903",['Other'],None,None,None,2017/01/1,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Mamsys Consulting Services Ltd,http://www.mamsys.com,None,"MAMSYS is a multinational IT Services and Consulting company headquartered in Solon, Ohio, United States, providing technology solutions to its esteemed customers (in the USA, UK, EU, and India) for more than ten years. We are proud to have over 80% of repeat customers because of our policy to ensure high customer satisfaction.
 
The leadership team of Mamsys comprises industry experts with deep connects in corporates, and experience in the global implementation of enterprise-wide IT solutions for companies, including many Fortune 500 giants, scaling up medium-sized companies and launching successful startups. 
Our mission is to provide a great customer experience by building incredible software utilizing a global network of experts.","United States, solon, OH 44139",['IT.Service'],None,None,None,2011/01/1,None,200,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
GiftMeThat,https://www.giftmethat.io,None,"Find the perfect gift with GiftMeThat's AI-powered search and expertly curated handpicked gifts. Our 300B+ possible filter combinations make personalized, thoughtful, and effortless gifting a reality.
GiftMeThat is the ultimate platform for personalized, thoughtful, and effortless gift shopping. We combine the power of AI technology with our expertly curated, handpicked gifts to help you find the perfect present for anyone, anytime. With over 300 billion filter combinations, our platform ensures that you can discover unique and meaningful gifts tailored to your recipient's interests, preferences, and needs.
Join us in redefining the art of gifting and experience the joy of finding the perfect gift with ease.","United States, Doral, FL 33178",['Retail'],Shipping,None,None,2022/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
HOOZIN,https://hoozin.co,None,"Hoozin is the ultimate event invite app, centralizing all of the event invitation activity that currently lives across multiple scheduling, communications, and payment platforms into a single app. Then we supercharge it with a FOMO-powered notification system that takes all the pressure off the event organizers and motivates the invitees to respond ASAP.","United States, Los Angeles, CA 90046",['IT.SaaS'],Shipping,None,None,2022/01/11,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Schertz Towing LFL,https://www.schertztowing.com,None,"As one of the leading tow companies in Schertz, TX, we offer top-notch roadside assistance services including car lock-out solutions; flat tires; wrecker service; local and long-distance towing all at competitive prices, 24 hours a day 7 days a week! Our team of experienced tow truck experts have the tools and skills necessary to handle any job big or small. We know how important it is for your vehicle and peace of mind to be handled with care which is why we strive for complete customer satisfaction every time. Give us a call today for all of your towing service needs! We look forward to serving all of your automotive needs soon!
Services:
	Roadside Assistance
	Car Lock Out
	Flat Tire
	Wrecker Service
	​Car Towing & Truck Towing
	Local Towing Services
	Long Distance Towing
Our Service Areas:
	Cibolo, TX 
	Selma, TX 
	Luxello, TX 
	Live Oak, TX 
	Converse, TX 
	Bracken, TX 
	Northcliff, TX 
	Corbyn, TX 
	Comal, TX 
	Windcrest, TX 
Phone Number: 
	(210) 796-7869
	 
	Website: 
https://www.schertztowing.com/
Email: 
schertztowing@hotmail.com
Hours Open: 
	Monday-Sunday
	24/7
Schertz Towing LFL","United States, Schertz, TX 78154",['Automotive and Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Toni Hedstrom,https://dreamstyle360.com/,None,"Description:
	Toni Hedstrom is a Tampa Real Estate Agent with Compass Florida, LLC, which offers the most modern & comprehensive search and marketing tools for every aspect of real estate sales and service. Toni specializes in the real estate needs of Land O'Lakes, Lutz, and Wesley Chapel. My primary business background has been in sales and marketing. I owned my first business in 1998. From that venture, I gained a plethora of marketing, sales, management, and service experience. This led me to my true passion.
Business Hours:
	Mon-Tue: 08:00 - 18:00
	Wed: 08:00 - 16:00
	Thu-Fri: 08:00 - 18:00
	Sat: 09:00 - 16:00
	Sun: Closed
Payment Methods:
	Visa, Mastercard
For more information, please contact us with the following details: 
Contact Telephone:
	+1 813-830-8664
Contact Email:
toni.hedstrom@compass.com
Other Social Media Profiles:
https://www.instagram.com/tonihedstromrealtor/
https://www.linkedin.com/in/tonihedstrom/","United States, Tampa, FL 33607",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Bounce Back Physio Plus Rehab,https://www.woodstockbouncebackphysio.ca/,None,"Welcome to the Woodstock Bounce Back Physio Plus Rehab! We are the highest rated Physiotherapy clinic in Brantford, now providing our physiotherapy services in Woodstock. We are a full-service physiotherapy clinic offering personalized rehabilitation and evidence-based practice to our clients in Woodstock.","Canada, Woodstock, ON N4S 1E3",['Healthcare / Medical Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
MaveFi,https://mavefi.com,None,"MaveFi is one of the largest Web3 consumer education and onboarding platform. We want you to join us as you learn, earn, and explore the decentralised economy. We are aiming to develop the ultimate consumer onboarding experience for Web3. MaveFi combines incentivised education, a range of Web3 tools, and a wide selection of onboarding opportunities designed to onboard new consumers. Sign up today, and broaden your Web3 horizons!","United States, Wilmington, DE 19801",['IT.Software'],Development and Testing,None,None,2022/02/15,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Harvey Brothers Inc.,https://www.harveybrothersinc.com/,None,"Description:
At Harvey Brothers Inc., we have the skill to handle all your rolling service needs. When you work with us, you'll get the expertise of seasoned craftsmen, and the caring support of a team that has been a part of the local community for decades. Get in touch with our team for excellent rolling services. No matter the scale or complexity of the project, you can rely on our high-quality rolling services. We are a family owned and operated company that has been helping clients for almost a century.
 
Business Hours:
Mon-Fri: 07:00 am - 3:30 pm, Sat-Sun: Closed
 
Payment Methods:
Cash, Visa, Mastercard, American Express, ATM / Debit, Discover, Personal Check
 
For more information, please contact us with the following details: 
Contact Telephone:
513-541-2622
 
Contact Email:
sales@harveybrothersinc.com
Other Social Media Profiles:
https://linkedin.com/in/stephen-kyle-0a211b63","United States, Cincinnati, OH 45223",['Other'],None,None,None,None,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Dividend Power,https://www.dividendpower.org,None,"Dividend Power is about building wealth and financial independence. The site provides timely and quality information about dividend investing, index fund investing, stock markets, retirement, personal finance, and travel.
This site is really about building wealth using dividend growth investing. It is about managing your money so that you can save, invest, and achieve financial independence.","United States, Herndon, VA 20170",['Financial Services'],Shipping,None,None,2020/10/26,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
The Bosworth Company,https://www.bosworthco.com/,None,"Description:
	As a local company established in 1949, we have the experience to help our neighbors in the Midland, TX area restore comfort & safety to their homes. At The Bosworth Company, we strive to build close relationships with our customers and provide reliable plumbing, HVAC, and electrical services and products. You can rely for honest advice, accurate estimates, and the best standard of work. With on-time delivery and by employing only trustworthy plumbers and technicians, we guarantee satisfaction.
Business Hours:
	Mon-Fri: 7:30am - 5:00pm
	Sat-Sun: 8:00am - 12:00pm
Payment Methods:
	Cash, Personal Check, Visa, Mastercard, American Express, Discover
For more information, please contact us with the following details:
Contact Telephone:
	+1 432-570-5233
Social Media Profiles:
https://www.instagram.com/bosworth_company/
https://www.pinterest.com/midland56/","USA, Del Mar",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
MusicStar.AI,https://musicstar.ai,None,"Are you an artist looking for inspiration? Or a fan who wants to know what it feels like to be a star? MusicStar.AI is designed for anyone, regardless of musical talent, who wants to make professional-sounding music. MusicStar.AI provides the tools you need, whether you're a music professional working on your next hit or a music fan wishing to create music like your favorite artist.","United States, Lewes, DE 19958",['Arts'],Development and Testing,None,None,2021/10/28,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Explorers Away,https://explorersaway.com,None,"We're José and Carley, creators of Explorers Away, dedicated to helping travelers, expats, and digital nomads feel at home on their adventures. Whether you're jet-setting around the world or setting up a new home abroad, our top travel tips, destination guides, and inspiration can help you make the most of your travels and feel at home wherever your wanderlust takes you. Join us as we share our passion for exploration and discovery.","United States, Rochester, NY 14604",['Travel / Tourism'],Shipping,None,None,2023/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Balle Bliss Luxury Medical Spa,http://www.ballebliss.com/,None,"Description:
	If you're looking to correct facial imperfections or wanting to renew and refresh your appearance, Guljeet Sohal, MD, and her team at Balle Bliss Luxury Medical Spa are the professionals to consult. Men and women in Cypress, Texas, benefit from Dr. Sohal's expertise and over a decade of experience in providing aesthetic treatments.
Contact us at (281) 758-2777 to learn more or schedule an appointment.
Business Hours:
	Mon: Closed
	Tue-Fri: 09:00 - 16:30
	Sat-Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone:
	(281) 758-2777
Other Social Media Profiles:
https://www.instagram.com/ballebliss/","United States, Cypress, TX 77429",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Big Rig Parking,https://bigrigparkingspaces.com/murfreesboro-tn-truck-parking/,None,"Description:
	Big Rig Parking offers convenient, secure semi-truck parking at gated, well-lit, video-monitored truck parking lots throughout the Southeast. Truck parking reservations are available at daily or monthly rates. Our goal is to alleviate stress caused by industry demands while giving truckers safe overnight parking options near accessible amenities, including food, restrooms, and showers. With guaranteed parking, drivers can operate more efficiently and stop wasting time searching for safe parking.
Business Hours:
	Mon-Sun: Open 24 Hours 
Payment Methods:
	Visa, Mastercard, ATM / Debit, American Express, Discover
For more information, please contact us with the following details: 
Contact Telephone:
	+1 833-727-5744
Contact Email:
support@bigrigparkingspaces.com","United States, Murfreesboro, TN 37127",['Other'],None,None,None,2019/01/1,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Brainboard,https://www.brainboard.co,None,Brainboard is an end-to-end solution to build and manage cloud infrastructures by helping you centralize your cloud and standardize how the infrastructure is constructed. Brainboard natively integrates Infrastructure as Code (IaC) best practices and git workflows while enforcing security through an out-of-the-box CI/CD engine.,"United States, San Francisco, CA CA 94114",['IT.SaaS'],Shipping,None,None,2019/10/4,None,25,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Launch Fulfillment,https://www.launchfulfillment.com,None,"Launch Fulfillment is an end-to-end Fulfillment Center that not only helps clients get their orders to their customers but also coordinates
Import & Export shipments and pallet shipping here in the United States.
We have been able to grow very quickly by utilizing our “Manufacturer to Customer” service offerings. Our mission is to make it easier for any business owner to manage their shipping through our brick-and-mortar facilities and our cloud-based software platform.","United States, American Fork, UT 84003",['Other'],Mature,None,None,2019/06/4,None,100,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Brentwood Dental Center,http://www.brentwooddentaltn.com/,None,"Description:
	Be Confident in Your Dental Care Over 40 years of exceptional care. Brentwood Dental Center has offered cosmetic and restorative dentistry in Brentwood, Tennessee for over 40 years, providing exceptional care from a team of dedicated professionals. When you walk into our office, you are promised the kindness, warmth and welcome you'd expect from your very own home. We believe that the highest quality care never sacrifices your comfort while delivering the smile you deserve.
Business Hours: 
	Mon: 08:00 - 17:00
	Tue: 08:00 - 17:00
	Wed: 08:00 - 17:00
	Thu: 07:00 - 16:00
	Fri: Closed
	Sat: Closed
	Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone: 
	+1 615-373-8307
Contact Email: 
info@brentwooddentaltn.com
Social Media Profiles: 
https://www.instagram.com/brentwooddentalcenter/","United States, Brentwood, TN 37027",['Other'],None,None,None,None,None,7,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Guards Security PA – Philadelphia,https://www.securityguardspa.com/philadelphia-security-services/,None,"Phone:
	+18774827372
 
Descriptions:
	Welcome to Security Guards PA, your premier security service provider in Philadelphia and the surrounding areas. We specialize in offering top-notch security guard services to ensure the safety and protection of businesses and individuals. Our team of trained professionals is dedicated to delivering reliable and effective security solutions tailored to your specific needs.
As a trusted security service in Philadelphia, we offer a range of comprehensive security services, including armed security guards, to meet the unique requirements of our clients. Whether you need security for your business, event, or personal safety, our experienced guards are ready to provide a safe and secure environment.
We proudly serve Norristown, Philadelphia, King of Prussia, Conshohocken, and the surrounding areas, offering our expertise to businesses and individuals seeking professional security services. With our extensive knowledge of the local landscape and our commitment to excellence, we strive to be your go-to choice for security guard services in the Philadelphia area.
At Security Guards PA, we prioritize your safety and peace of mind. Our team is highly trained, equipped with the latest security technologies, and dedicated to maintaining a vigilant presence. With our services, you can rest assured knowing that your security needs are in capable hands.
If you require reliable security services in Philadelphia or the surrounding areas, contact Security Guards PA today. We are committed to providing you with the highest level of security and protection, ensuring your peace of mind in an increasingly uncertain world. Trust Security Guards PA for all your security needs.","United States, Philadelphia, PA 19019",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Squarewebsites.org,https://www.squarewebsites.org,None,"At Squarewebsites, we're experts in building powerful plugins to enhance your Squarespace website.
Our plugins are beautiful, easy to install, and don’t require coding knowledge - except for the Universal Filter plugin, which requires basic code understanding.
If you ever encounter any issues with our plugins, don't hesitate to contact our product experts. We're always here to help and just an email away.","United States, Ketchum, ID 83340",['IT.Service'],Shipping,None,None,2018/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Omoyetips,https://finance.omoyetips.com0,None,"Omoyetips is a personal finance blog that offers practical tips and insights on managing personal finances, investing, and building wealth. The blog is owned and managed by a web developer who has a passion for financial literacy and helping people make sound financial decisions.","Nigeria, Los Angeles California 90012",['Financial Services'],Development and Testing,None,None,2021/07/25,None,9,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Printer Error State,https://printererrorstate.com/hp-printer-setup/,None,"The Printer Error State is one of the leading technical blog aimed at helping nontechnical people to understand technology in a better way. We provide useful and high-quality information that actually matters the most users. We provide solution for all types of printer software issues and error in short time of span.
You Can Read Our Blogs Here: Printer Prints Blank Pages | Brother Printer Offline On Mac | Printer Showing Offline | Clear the Printer Queue","United States, Redding, CA 96002",['IT.Service'],None,None,None,2000/04/6,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Jason Rubin Insurance Services LLC,http://www.jasonrubinins.com/,None,"Description:
	To help you navigate the complexities of Medicare Advantage, Medicare Supplements, and Medicare Part D. To share with you the pros and cons of various options and help you converge on the best solution for your situation. To represent the companies we are contracted with in a transparent manner. To share with you the pros and cons of various options and help you decide and choose the best solution for you. Medicare can be a daunting task and we pride ourselves on holding our client' hand.
Business Hours:
	Mon-Fri: 09:00 - 6:00
	Sat: 10:00 - 2:00
	Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone:
	+1 877-777-7892
Other Social Media Profiles:
https://www.linkedin.com/in/medicare101/","United States, Woodland Hills, CA 91367",['Other'],None,None,None,2005/01/1,None,3,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Therapy Trainings™,https://www.therapytrainings.com/,None,"Therapy Trainings™ is the best online training for mental health professionals who need continuing education. We offer CEUs for social workers, counselors, therapists, and case managers.","United States, Louisville, KY 40205",['Education'],None,None,None,None,None,3,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Well Me Right,https://www.wellmeright.com,None,"Meet with vetted experts in diet, nutrition, supplements, beauty, fitness, mindfulness and more for 1:1 virtual coaching & support. Connect virtually with a certified health coach, wellness expert, certified nutrition specialist, weight loss coach, or wellness coach. Well Me Right offers virtual health coaching and wellness sessions so you can get the support you need from the comfort of your own home, on your own schedule.","United States, Erie, PA 16501",['Healthcare / Medical Services'],Shipping,None,None,2022/05/13,None,250,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Roofbox Chronicle,https://www.roofboxchronicle.com/,None,"Roofbox Chronicle is a comprehensive website dedicated to providing informative and insightful articles about roof boxes and rooftop cargo carriers. Whether you're an experienced traveler or a novice adventurer, this website offers a wealth of resources to help you choose the best roof box for your vehicle, pack it safely, and protect your belongings during transport. With expert tips, in-depth reviews, and helpful guides, Roofbox Chronicle is your go-to source for all things rooftop cargo.","United States, Mesa, AZ 85201",['Automotive and Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
BlockchainLabs,https://bc-labs.net,None,"Blockchain Labs is one of the leading providers of blockchain technology solutions. We have built and operated COOV, South Korea's national blockchain-based COVID-19 vaccine passport that serves more than 43 million users and processed over 30 million verifications per day - this is by far the biggest and the most successful blockchain service that people were able to use. Our company specializes in web 3.0 blockchain technology, blockchain-based services, blockchain messaging apps, and helping businesses achieve data sovereignty. If your business is considering leveraging blockchain technologies to increase transparency and decentralize certain modes of communications, look no further than Blockchain Labs. We can help you develop a custom blockchain solution that is tailored to your business needs. Feel free to schedule a complimentary consultation with us today.","United States, San Francisco, CA 94105",['IT.Software'],None,None,None,2014/05/6,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Abundant Energy Experts,https://abundantenergyexperts.com/,None,"Abundant Energy Experts in Massachusetts, are dedicated to providing reliable renewable energy solutions to help create a sustainable future. Our expert solar solutions are designed to meet the unique needs of each client, whether it's solar installation for homes or solar rooftop installation for businesses.
	We understand the importance of renewable energy and the positive impact it has on the environment, which is why we are committed to providing the highest quality solar products and services. Our team of experienced professionals is passionate about helping our clients reduce their carbon footprint and save money on energy costs.
	From solar panels to battery storage solutions, we offer a wide range of products and services to meet your specific needs. Our solar installation for home services are tailored to your home's unique energy needs, while our solar rooftop installation services are designed to help businesses maximize their energy savings.
	We pride ourselves on providing expert solar solutions that are both reliable and affordable. Our commitment to customer satisfaction ensures that we will work with you every step of the way to ensure that you are completely satisfied with your solar installation.","United States, Barre, MA 01005",['Energy and Utilities'],None,None,None,None,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
"Ryan, Montgomery & Armstrong, Inc. P.S.",http://www.rmalaw.com/,None,"Description:
	At the law office of Ryan, Montgomery & Armstrong, Inc., P.S., located in Silverdale, we understand that experience matters. Since 1962, our law firm has represented Washington clients facing a variety of legal issues. We are a full-service law firm, ready to serve you in an array of practice areas, including personal injury, family law, estate planning, criminal defense, business law, landlord-tenant law, real estate law, and more.
Business Hours: 
	Mon-Fri: 08:30 - 17:00
	Sat-Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone: 
	+1 360-307-8860
Fax Number: 
	360-307-8865","United States, Silverdale, WA 98383",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Gatewood Heating Air Conditioning,http://www.gatewoodhvac.com/,None,"Description:
	Gatewood Heating & Air Conditioning, Inc. are your locally owned heating and air conditioning specialists serving all of Sonora, CA including Tuolumne & Calaveras Counties with the highest level of HVAC services. Whether you need to install a new heating system, tune-up your existing AC unit, or have a question about HVAC services or applications, Gatewood Heating & Air Conditioning, Inc. is here to help you.
Business Hours:
	Mon-Sun: Open 24 Hours
Payment Methods:
	Cash, Visa, Mastercard
For more information, please contact us with the following details: 
Contact Telephone:
	(209) 532-1473
Contact Email:
gatewoodheating1@gmail.com","United States, Sonora, CA 95370",['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Dr. Lauren Daly,https://www.thenaturalresult.com/practice-staff/dr-lauren-daly/,None,"Description:
	Dr. Lauren Daly is a plastic surgeon practicing in Folsom, CA. She graduated from medical school at the University of California, Irvine, and completed a six-year residency in Plastic and Reconstructive Surgery at the University of Massachusetts. As a plastic surgeon, her goal is to improve their quality of life, help her patients rediscover their sense of self, and ""get their body back” through excellent cosmetic surgery results.
Business Hours: 
	Mon-Fri: 08:00 - 16:00
	Sat-Sun: Closed
Payment Methods: 
	Visa, Financing Available, Mastercard, American Express, ATM / Debit, Discover, Cash
For more information, please contact us with the following details: 
Contact Telephone: 
	+1 916-983-9895
Contact Email: 
kaufmandavis@sector45.com
Social Media Profiles: 
https://www.instagram.com/thenaturalresult_folsomca/","United States, Folsom, CA 95630",['Healthcare / Medical Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
