name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type
"['Org1', 'Broad Creek Manor Assisted Living']",None,None,"['Org1', 'Address:\n\t4411 Flintville Rd, Whiteford, Maryland, 21160\nWebsite:\nhttps://www.broadcreekassistedliving.com/\nDescription:\n\tBroad Creek Manor assisted living facility is licensed by the state of Maryland and complies with all regulations regarding housing, personal care services, and access to health care to seniors.\xa0\nWe help our residents who need assistance with their activities of daily living (ADLs) such as meals, taking medications, bathing, and dressing.\xa0\nAssistance and care is given in a way that promotes maximum independent living.\nBusiness Hours:\n\tMon: 10:00 - 19:00\n\tTue: 10:00 - 19:00\n\tWed: 10:00 - 19:00\n\tThu: 10:00 - 19:00\n\tFri: 10:00 - 19:00\n\tSat: 10:00 - 19:00\n\tSun: 10:00 - 19:00\n\xa0\nFor more information, please contact us with the following details:\nContact Email:\nscott.chaney@broadcreekmanor.com\nContact Telephone:\n\t(410) 452-0004\nSocial Media Profiles:\xa0\nhttps://www.facebook.com/BroadCreekManor\nhttps://www.instagram.com/broadcreekmanor/']","['Org1', 'United States, Whiteford, MD 21160']","['Org1', ['Healthcare / Medical Services']]","['Org1', 'None']",None,None,"['Org1', '2020/01/1']",None,"['Org1', 'None']",None
"['Org1', 'Main Slot Online Terpercaya di QJoker123']",None,None,"['Org1', 'Siapa yang tidak suka bermain slot online terpercaya? Game ini adalah salah satu game judi online yang paling populer dan menyenangkan. Bagi para penggemar slot, QJoker123 menawarkan pengalaman bermain yang menyenangkan dan aman dengan kesempatan untuk menang besar dengan mudah dan cepat.\nKami memberikan akses ke ratusan game slot online terbaik dari penyedia perangkat lunak terkemuka seperti Pragmatic Play, Spade Gaming, dan lainnya. Dengan banyak pilihan game, Anda tidak akan bosan. Selalu ada game baru yang ditambahkan setiap minggu, jadi jangan takut untuk mencoba game baru setiap saat.\nTidak hanya slot online terpercaya yang tersedia di situs ini, tetapi juga game judi online lainnya seperti judi bola, poker online, live casino, dan masih banyak lagi. Jadi, jika Anda ingin bermain game judi slot online, kami adalah tempat yang tepat untuk mencobanya.\nBukan hanya pilihan game yang banyak, kami juga menawarkan kesempatan yang sangat baik untuk menang besar. Ada bonus sambutan yang sangat murah hati dan berbagai promosi menarik yang tersedia untuk semua anggota QJoker123. Jadi, jangan ragu untuk bergabung, setor dana, dan mulai mainkan slot favorit Anda di situs slot online terpercaya.\nKeamanan dan kenyamanan dalam bermain game online sangat penting. Kami menawarkan pengalaman bermain yang aman dan terlindungi dengan menggunakan teknologi enkripsi SSL terbaru. Setoran dan penarikan juga sangat mudah dilakukan melalui berbagai opsi pembayaran yang disediakan.\nTidak hanya itu, layanan pelanggan yang luar biasa juga merupakan nilai tambah dari situs ini. Tim dukungan pelanggan yang ramah dan terlatih siap membantu Anda dengan segala pertanyaan atau masalah yang mungkin Anda alami saat bermain di QJoker123. Anda dapat menghubungi tim dukungan pelanggan melalui live chat atau email.\nSenang bermain game slot dan mencari tempat yang aman dan menyenangkan untuk bermain? kami adalah jawaban yang Anda cari. Temukan pengalaman bermain game slot online terpercaya yang menyenangkan, aman, dan memuaskan hanya di situs ini.\nMasuklah ke dunia slot online terpercaya sekarang dan raih kesempatan untuk menang besar dengan mudah dan cepat. Dapatkan keuntungan dari bonus dan promosi menarik setiap hari dan jangan lewatkan penawaran khusus yang dapat membuat Anda memenangkan hadiah besar.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2001/03/3']",None,"['Org1', '201']",None
"['Org1', 'Agen Vivoslot Daftar Terbaik dan Tergacor QJoker123']",None,None,"['Org1', 'Vivoslot daftar melalui QJoker123 untuk menikmati pengalaman bermain slot online yang aman dan menyenangkan, mainkan permainan favoritmu. Dalam era digital ini, permainan slot online semakin populer dan menjadi pilihan banyak orang untuk mengisi waktu luang. Salah satu tempat terbaik untuk bermain slot online adalah platform kami, yang menyediakan akses ke berbagai jenis permainan slot terbaik di dunia. Untuk memaksimalkan pengalaman bermainmu, kamu dapat mendaftar melalui situs terbaik kami, yang merupakan salah satu provider terbaik di Indonesia.\nProses vivoslot daftar sangat mudah dan cepat. Kamu hanya perlu mengisi formulir pendaftaran dengan informasi pribadi yang lengkap dan benar. Setelah itu, kamu akan mendapatkan akun baru yang dapat digunakan untuk memainkan berbagai jenis permainan slot online. Selain itu, kamu juga dapat menikmati bonus dan promo menarik yang disediakan oleh QJoker123.\nSetelah melakukan vivoslot daftar terpercaya, langkah selanjutnya adalah masuk ke akun barumu dan memilih permainan yang ingin dimainkan. Kamu dapat memilih permainan yang paling sesuai dengan selera dan keinginanmu.\nSelain memilih permainan pada situs vivoslot daftar terpercaya, kamu dapat memasang taruhan dan mulai memutar gulungan. Dalam permainan slot, tujuan utama adalah untuk mendapatkan kombinasi simbol yang tepat untuk memenangkan hadiah. Kemenanganmu akan tergantung pada kombinasi simbol yang muncul. Semakin jarang kombinasi tersebut, semakin besar hadiah yang akan kamu dapatkan.\nTidak hanya memainkan permainan slot di situs vivoslot daftar terpercaya, kamu juga dapat berpartisipasi dalam turnamen slot yang diselenggarakan oleh kami. Turnamen ini memberikan kesempatan untuk memenangkan hadiah yang lebih besar dan menantangmu untuk bersaing.\nSaat bermain slot online di vivoslot daftar terpercaya, kamu tidak perlu khawatir tentang keamanan dan keadilan permainan. Mesin slot kami menggunakan pertahanan yang kuat dan terpercaya untuk melindungi semua database dari situs kami. Selain itu, slot online juga menggunakan generator nomor acak (RNG) untuk memastikan bahwa hasil permainan adalah adil dan tidak dapat dimanipulasi.\nDengan vivoslot daftar terpercaya melalui QJoker123, kamu akan merasakan pengalaman bermain slot online yang terbaik dan teraman di Indonesia. Jangan ragu untuk mendaftar sekarang dan menikmati berbagai jenis permainan slot yang tersedia. Raih kemenanganmu dan jadilah pemain slot yang sukses di slot online!']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2013/05/27']",None,"['Org1', '212']",None
"['Org1', 'Teschner Umzug']",None,None,"['Org1', 'Professional removals in Ingolstadt - experience cheap and stress-free with Teschner removals from Ingolstadt\n\xa0Contact us\xa0\nhttps://www.teschner-umzug.de/\n\t\xa0info@teschner-umzug.de\n\t\xa0+4915792621441\n\t\xa0Credit Card, Cash, Bank Transfer\n\t\xa0Mo-Su. 7.00 - 22.00\n\xa0Bei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Ingol – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Ingol brauchen.']","['Org1', 'Germany, 85049 Ingol']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', ""Exxon-Bryan's Grill""]",None,None,"['Org1', 'Phone: 336-481-9458']","['Org1', 'United States, Thomasville, NC 27360']","['Org1', ['Retail']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Nama Infotech']",None,None,"['Org1', 'A younger and ardent web design and development company in India, founded in 2019, has assisted 100+ small businesses, resellers, and organizations with smarter website solutions. We also provide affordable app development, result-driven digital marketing solutions, and server management services to our clients. Simply put, we provide our clients with a wide range of IT services and industry-specific solutions that are both effective and efficient.']","['Org1', 'India, Mohali Punjab 160055']","['Org1', ['IT.Service']]","['Org1', 'Shipping']",None,None,"['Org1', '2010/04/2']",None,"['Org1', '50']",None
"['Org1', 'Sparsha By Radhika']",None,None,"['Org1', 'Sparsha by Radhika is an online store in India that offers corporate office paintings for sale in Bengaluru with distilled concepts and meticulous execution. We create customized paintings for living spaces, commercial spaces, and social spaces.']","['Org1', 'India, Bengaluru Karnataka 560038']","['Org1', ['Arts']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Canvas']",None,None,"['Org1', ""Canvas is a marketplace with handpicked venues for every type of event. Canvas is free for event planners to use, and we never charge a commission, so you'll always get the best deals a venue can offer.\nFor busy venue managers who don't have time to chase event inquiries, Canvas is a marketplace that brings leads directly to your inbox. Unlike other event agencies, Canvas is a membership and never charges a commission, so all the profits of your events go straight into your pockets.""]","['Org1', 'None']","['Org1', ['Startup Services']]","['Org1', 'Shipping']",None,None,"['Org1', '2013/06/1']",None,"['Org1', '10']",None
"['Org1', 'Gentry Law Firm LLC']",None,None,"['Org1', 'Description:\n\tThe Marietta family law attorneys at Gentry Law Firm LLC handle high-asset divorce cases as well as child custody and support cases. We provide divorce and family law services to the Cobb, Cherokee, Paulding, Fulton, Gwinnett, DeKalb, and Bartow counties. For over 35 years, we have been crafting innovative legal solutions in high-asset and high-income divorces, custody cases, and other family law matters.\nBusiness Hours:\n\tMon-Fri: 09:00 - 17:00\n\tSat-Sun: Closed\nPayment Methods:\n\tVisa, Cash, Mastercard, American Express, Discover, ATM / Debit\nFor more information, please contact us with the following details:\nContact Telephone:\n\t(770) 425-5573\nContact Email:\nadvice@gentrylawfirm.law']","['Org1', 'United States, Marietta, GA 30060']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', '2018/01/1']",None,"['Org1', 'None']",None
"['Org1', 'Umzugshilfe Paderborn']",None,None,"['Org1', 'Bei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Paderborn – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Paderborn brauchen.\nUmzugsunternehmen Paderborn, Umzug Paderborn, Umzüge Paderborn, Umzugshelfer Paderborn, Umzugsfirma Paderborn, Piano transport, Private move, Moving company, Senior move, Laboratory move, Moving service, Home mover, Furniture transport\xa0\nBei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Paderborn – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Paderborn brauchen.\nUmzugsunternehmen Paderborn, Umzug Paderborn, Umzüge Paderborn, Umzugshelfer Paderborn, Umzugsfirma Paderborn, Piano transport, Private move, Moving company, Senior move, Laboratory move, Moving service, Home mover, Furniture transport']","['Org1', 'Germany, 33102 Paderborn']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'IsoTalent']",None,None,"['Org1', 'IsoTalent is a full-service employer of record that can both recruit and legally employ candidates from anywhere in the world. Get help hiring top local or global talent with our affordable, commission-free pricing model, expand your international talent pools, and get expert help with our team of seasoned HR professionals.\nSPECIALTIES:\xa0\n\tHR and Recruiting, Global Employer of Record, Professional Employment Organization, Global Recruiter\nHOURS OF OPERATION:\n\tMonday - Friday 8 AM-5 PM\n\tSaturday & Sunday: Closed\nPAYMENT METHODS:\n\tCredit Card, ACH and Check\nCATEGORY:\n\tHR and Recruiting, Global Employer of Record, Professonal Employment Organization, Global Recruiter, Recruiting Agency']","['Org1', 'United States, Lehi, UT 84043']","['Org1', ['Staffing / Employment Agencies']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Minden Foundation Repair']",None,None,"['Org1', 'Phone : +1 318-301-3938\nIn Minden, LA, and the surrounding regions, Minden Foundation Repair is a contractor that offers concrete slab, crawl space encapsulation, cracked wall and structural repairs, house leveling, retaining wall, driveways and sidewalk repair, and a number of other services. Since our company has been operating for many years, you can be sure that we will provide you with professional residential and commercial facilities. We are prepared to help with anything from structural movement and lifting to erecting and maintaining retaining walls, pin piles, and heliсаl piers. We are a family-run company that offers financing, and free estimates to commercial business owners and homes, and we take all major credit cards. Employ us straight away.']","['Org1', 'United States, Minden, LA 71055']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', '1991/01/1']",None,"['Org1', '9']",None
"['Org1', 'House Of Marketers']",None,None,"['Org1', 'We’re a team of experienced TikTok Influencer Marketing experts that have insider knowledge of how TikTok works. We help ambitious brands engage Gen Z and Millennials using proven up to date strategies.']","['Org1', 'None']","['Org1', ['Advertising / PR / Marketing']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Umzugsunternehmen Jäger']",None,None,"['Org1', 'Professional removals in Herne - experience cheap and stress-free with removal company Jager from Hernetac\nContact us\nhttps://www.umzugsunternehmen-jaeger.de/\ninfo@umzugsunternehmen-jaeger.de\n\t+4915792621437\n\tCredit Card, Cash, Bank Transfer\n\tMo-Su. 7.00 - 22.00\nBei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Herne – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Herne brauchen.']","['Org1', 'Germany, 44625 Herne, Germany']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Raih Kemenangan Besar Bermain Sbobet88 Indonesia di Royal188']",None,None,"['Org1', 'Royal188 adalah situs taruhan online terpercaya dan terbaik di Indonesia yang menawarkan permainan sbobet88 Indonesia terlengkap dan terbaik untuk pemain yang ingin meraih kemenangan besar. Dengan bergabung di dalam website resmi dan terpercaya ini, semua pemain bisa nikmati pengalaman bertaruh yang aman, nyaman, dan fair play. Situs judi sbobet88 Indonesia terpercaya ini selalu sediakan berbagai jenis game seperti taruhan olahraga, slot online,\xa0poker online, casino online\xa0dan masih banyak lagi. Pastinya dari semua penyediaan yang ada dalam website\nPada situs judi sbobet88 Indonesia terpercaya dan resmi ini juga menawarkan layanan terbaik untuk para pemain, termasuk deposit dan withdraw yang cepat dan mudah, bonus-bonus menarik, serta dukungan pelanggan yang ramah dan profesional. Selain itu, situs ini juga menggunakan teknologi canggih untuk menjaga keamanan data dan transaksi para pemain. Pastinya semua pemain akan mendapatkan banyak sekali kemudahan yang sudah para pengelola web resmi dan terpercaya ini.\nSbobet88 Indonesia adalah produk terbaik di dalam web ini yang menjadi pilihan utama para pemain di Indonesia untuk taruhan olahraga dan permainan casino online. Dengan bergabung pada situs judi sbobet88 Indonesia terpercaya Royal188 ini, para pemain dapat menikmati semua jenis permainan judi online yang telah disediakan dengan lengkap dan bisa dimainkan dengan berbagai kemudahan, serta tingkat kenyamanan yang sangat tinggi dapat anda raih saat bertaruh dalam website yang telah kami jelaskan dalam aritkel ini.\nDalam permainan judi sbobet88 Indonesia, kalian bisa memilih berbagai jenis taruhan olahraga seperti sepak bola, basket, tenis, dan masih banyak lagi. Selain itu, situs ini juga menyediakan ragam jenis game judi casino online seperti baccarat, roulette, blackjack, dan mesin slot online paling menarik.\nDengan reputasi yang baik dan pengalaman yang bertahun-tahun di industri judi online, Royal188 menjadi pilihan paling tepat untuk semua pemain yang memiliki keinginan meraih keuntungan besar di permainan sbobet88 Indonesia. Bergabunglah sekarang di dalam website terpercaya ini agar kalian dapat merasakan seluruh sensasi bermain judi online yang menarik dan menguntungkan di dalamnya!']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2000/03/3']",None,"['Org1', '188']",None
"['Org1', 'Mainkan OSG777 Asia dan Menangkan Uang Asli di Royal188']",None,None,"['Org1', 'OSG777 Asia adalah salah satu platform perjudian online terbesar di Asia dengan ribuan pemain aktif setiap hari. Dalam artikel ini, kami akan membahas tentang pengalaman bermain OSG777 Asia dan bagaimana platform ini dapat memberikan pengalaman bermain yang luar biasa.\nRoyal188 adalah salah satu situs judi online terkemuka di Indonesia yang menawarkan berbagai permainan seperti slot, poker, blackjack, dan banyak lagi. Dengan bermitra dengan OSG777 Asia menawarkan pengalaman bermain yang tak tertandingi dan memberikan kesempatan kepada para pemain untuk merasakan sensasi bermain di kasino sungguhan.\nSalah satu hal yang membedakan OSG777 Asia adalah ketersediaan permainan yang beragam. Pengelola menawarkan lebih dari 100 jenis permainan, termasuk slot klasik, slot video, dan permainan meja seperti blackjack dan roulette. Selain itu, OSG777 juga menawarkan berbagai tema permainan yang menarik seperti permainan bertema kartun, superhero, dan film populer.\nSelain itu OSG777 Asia menawarkan fitur-fitur unik seperti jackpot progresif dan bonus putaran gratis. Jackpot progresif memberikan kesempatan kepada pemain untuk memenangkan hadiah besar yang terus meningkat setiap kali seseorang memainkan permainan tertentu. Bonus putaran gratis memberikan kesempatan kepada pemain untuk memutar gulungan secara gratis dan memenangkan hadiah tanpa harus mempertaruhkan uang mereka sendiri.\nPengalaman bermain yang luar biasa tidak hanya tergantung pada permainan yang tersedia, tetapi juga pada kualitas layanan yang diberikan oleh situs perjudian online. Royal188 telah terbukti menjadi salah satu situs OSG777 Asia di Indonesia dengan layanan pelanggan yang responsif dan ramah. Para pemain dapat menghubungi layanan pelanggan 24/7 melalui obrolan langsung atau email untuk mendapatkan bantuan dan dukungan.\nSelain itu OSG777 Asia menawarkan berbagai bonus dan promosi untuk para pemain seperti bonus sambutan, bonus setoran, dan cashback mingguan. Bonus sambutan memberikan kesempatan kepada pemain untuk menggandakan setoran pertama mereka, sedangkan bonus setoran memberikan bonus tambahan setiap kali seseorang melakukan setoran. Cashback mingguan memberikan pengembalian dana kepada pemain yang mengalami kerugian selama seminggu.\nKesimpulannya adalah pengelola menyediakan bermain yang luar biasa dengan permainan yang beragam, fitur-fitur unik, dan kualitas layanan yang terbaik. Jika Anda mencari situs judi online terbaik di Indonesia, Royal188 dan OSG777 Asia adalah pilihan yang tepat. Jangan ragu untuk mencoba dan merasakan pengalaman bermain yang tak tertandingi.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2014/05/4']",None,"['Org1', '201']",None
"['Org1', 'Amazon Herbal']",None,None,"['Org1', 'Amazon Herbal is one of the best online seller of herbal products in Dubai for men’s on their day to day essential needs like hair growth, hair fall control, anti-dandruff solutions, weight loss tablets, and herbs for women’s Dubai there are beauty enhancement creams, dark-spot remover solutions, instant face whiteners, and so on said to be on the list of Ayurvedic medicine for women’s health.']","['Org1', 'United Arab Emirates, Dubai']","['Org1', ['Other']]","['Org1', 'Shipping']",None,None,"['Org1', '2022/07/16']",None,"['Org1', '3']",None
"['Org1', 'Make Any Payment']",None,None,"['Org1', 'Make Any Payment ensures you get paid by your customers on the spot and securely to avoid chasing money or working for free. \nOur platform is ideal for project deposits, quick decision purchases, debt collection, and more. Furthermore, it enables customers to conveniently make payments using credit cards or take advantage of Buy Now Pay Later services.']","['Org1', 'Australia, Melbourne VIC 3000']","['Org1', ['Financial Services']]","['Org1', 'Shipping']",None,None,"['Org1', '2021/05/1']",None,"['Org1', '5']",None
"['Org1', 'AppEQ']",None,None,"['Org1', ""AppEQ's passion is to provide effective solutions to customer-facing teams that drive growth and profitability for B2B organisations. We think that revenue retention is the most important driver of profitability, and our aim is to assist businesses in achieving this goal. Our solutions work in tandem with your team to increase revenue retention and account growth.\nRajat and Mano, our co-founders, have over 40 years of combined expertise in enterprise, technology, and entrepreneurship. We have the support of some of the greatest SaaS leaders and professionals.""]","['Org1', 'India, Bengaluru Karnataka 560102']","['Org1', ['IT.SaaS']]","['Org1', 'Mature']",None,None,"['Org1', '2020/03/4']",None,"['Org1', '20']",None
"['Org1', 'Bể bơi bằng bạt cho bé: Không cần bơm hơi, giá rẻ, độ bền cao']",None,None,"['Org1', 'Bể bơi bằng bạt mini hoặc cỡ lớn khung sắt là một giải pháp tuyệt vời để giải quyết vấn đề tắm nước cho các gia đình, đặc biệt là những gia đình có trẻ nhỏ. Với những bể bơi này, bạn không cần phải đến những khu vui chơi giải trí và đắt tiền để tắm nước, mà có thể tự tạo ra không gian tắm nước tại nhà. Trong bài viết này, chúng tôi sẽ cùng tìm hiểu về bể bơi bằng bạt mini hoặc cỡ lớn khung sắt cho bé và gia đình tắm tại nhà.']","['Org1', 'Vietnam, bac ninh']","['Org1', ['E-commerce']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Appinnovix- Top Web and Mobile App development company in India']",None,None,"['Org1', 'We are the best web & Mobile app development company. We are specialized in web development | android | Ios |Custom app development in India.']","['Org1', 'India, Lucknow, Uttar Pradesh 226010']","['Org1', ['IT.Software']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Umzugsunternehmen Huber']",None,None,"['Org1', 'Professional removals in Heidelberg - expereince cheap and stress-free with removal company Huber from Heidelberg\nContact us\nhttps://www.umzugsunternehmen-huber.de/\ninfo@umzugsunternehmen-huber.de\n\t+4915792621436\n\tCredit Card, Cash, Bank Transfer\n\tMo-Su. 7.00 - 22.00\nBei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Heidelberg – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Heidelberg brauchen.']","['Org1', 'Germany, 69120 Heidelberg']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Mainkan Joker388 Slot dan Menangkan Hadiah Besar di Royal188']",None,None,"['Org1', 'Apakah Anda seorang penggemar slot online? Jika iya, pastinya sudah tidak asing lagi dengan game Joker388 slot. Game ini sangat populer di kalangan para penggemar judi online di Indonesia. Joker388 menyediakan berbagai jenis permainan slot dengan tampilan yang menarik dan fitur-fitur menarik yang akan membuat pemain betah berlama-lama bermain. Tapi, bagaimana cara untuk memenangkan jackpot di situs Royal188? Simak panduan terbaiknya di bawah ini.\nTahukah Anda bahwa setiap jenis slot memiliki peluang menang yang berbeda-beda? Oleh karena itu, penting untuk memilih jenis slot yang sesuai dengan gaya permainan Anda. Ada tiga jenis slot yang biasanya tersedia di game Joker388 slot, yaitu classic slot, video slot, dan jackpot slot. Classic slot memiliki tampilan yang simpel dan hanya memiliki satu payline, sedangkan video slot memiliki tampilan yang lebih kompleks dan fitur-fitur yang lebih menarik. Sementara itu, jackpot slot adalah jenis Joker388 slot yang memberikan kesempatan untuk memenangkan jackpot.\nFitur free spin adalah fitur yang biasanya disediakan oleh game Joker388 slot. Fitur ini memberikan kesempatan untuk memutar gulungan tanpa harus memasang taruhan. Jika Anda beruntung, Anda bisa mendapatkan kombinasi simbol yang menghasilkan kemenangan di situs Royal188.\nHal yang paling penting dalam bermain Joker388 slot adalah mengelola modal dengan baik. Jangan terlalu serakah dan jangan terlalu boros dalam memasang taruhan. Tentukan batas maksimal dan batas minimal taruhan yang bisa Anda pasang dalam satu putaran. Jangan lupa juga untuk memilih mesin slot yang sesuai dengan jumlah modal Anda.\nSetiap mesin slot memiliki peluang menang yang berbeda-beda. Oleh karena itu, perhatikan peluang menang dari setiap mesin slot sebelum memutuskan untuk memasang taruhan. Pilih mesin Joker388 slot yang memiliki peluang menang yang lebih tinggi.\nHal yang terakhir namun tidak kalah penting adalah bermain dengan sabar. Jangan terlalu terburu-buru dalam memutuskan untuk memasang taruhan Joker388 slot. Perhatikan juga waktu yang Anda gunakan dalam bermain. Jangan terlalu lama atau terlalu singkat.\nItulah panduan terbaik untuk memenangkan jackpot di game Joker388 slot. Selalu ingat untuk memilih jenis slot yang sesuai, manfaatkan fitur free spin, kelola modal dengan baik, perhatikan peluang menang, dan bermain dengan sabar di situs Royal188.']","['Org1', 'Indonesia, Jakarta 11450 DKI Jakarta']","['Org1', ['IT.Gaming']]","['Org1', 'Co-Founder']",None,None,"['Org1', '2014/03/5']",None,"['Org1', '201']",None
"['Org1', 'Umzugsservice Leverkusen']",None,None,"['Org1', 'Professional relocations in Leverkusen - experience cheap and stress free with the Leverkusen service\nContact us:\nhttps://www.umzugsservice-leverkusen.de/\ninfo@umzugsservice-leverkusen.de\n+4915792621433\nCredit Card, Cash, Bank Transfer\nMo-Su. 7.00 - 22.00\nBei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Leverkusen – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Leverkusen brauchen.\nUmzugsunternehmen Leverkusen, Umzug Leverkusen, Umzüge Leverkusen, Umzugshelfer Leverkusen, Umzugsfirma Leverkusen, Private move, Moving company, Senior move, Laboratory move, Official relocation, Moving service, Home mover']","['Org1', 'Germany, 51061 Leverkusen']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'On Cloud 9 Smoke Shop']",None,None,"['Org1', ""If you are searching for a smoke shop to buy glass art and meet your vaping and smoking needs, On Cloud 9 is the place. Here at On Cloud 9 we not only offer a wide array of products, but we also educate our customers. We host monthly workshops for customers to learn about the new and upcoming products. We offer an all-in-one smoke shop to buy everything you need to have a great smoking experience. We also have products that can help with stress, pain, and anxiety. We like to provide Great Service & Great Vibes with PA skill games and PA lottery. It's how a smoke shop should be.\nhttps://ontocloud9.com/""]","['Org1', 'United States, Thorndale, PA 19372']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Umzüge Darm']",None,None,"['Org1', 'Professional removals in Darmstadt - experience cheap and stress-free with removals Darmstadt from Darmstadt\nContact us\nhttps://www.darmstadt-umzugsservice.de/\ninfo@darmstadt-umzugsservice.de\n\t+4915792621435\n\tCredit Card, Cash, Bank Transfer\n\tMo-Su. 7.00 - 22.00\nBei uns erhalten Sie alles aus einer Hand: vom passenden Möbelwagen bis zum Umzugsmaterial in Darm – in unserem Umzugsshop finden Sie alles, was Sie für einen unkomplizierten Privat-, Büro- oder Firmenumzug in Darm brauchen.']","['Org1', 'Germany, 64283 Darmstadt']","['Org1', ['Startup Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', 'None']",None
"['Org1', 'Comfort Keepers of Prince William County']",None,None,"['Org1', ""Description:\n\tComfort Keepers caregivers travel to clients' homes to provide care services and living assistance. Our work allows seniors and disabled individuals to live independently and as comfortable as possible. With our expert caregivers in your loved one's home, you can rest assured knowing he or she is receiving the best care possible.\nBusiness hours:\n\tMon-Sun: Open 24 Hours\nPayment Method:\n\tVisa, Mastercard, American Express, Invoice, Personal Check, Discover\nFor more information, please contact us with the details below:\nContact Telephone:\n\t+1 703-686-4820""]","['Org1', 'United States, Manassas, VA 20110']","['Org1', ['Healthcare / Medical Services']]","['Org1', 'None']",None,None,"['Org1', 'None']",None,"['Org1', '80']",None
"['Org1', 'Euroseal Windows & Doors']",None,None,"['Org1', 'Description:\nEuroseal Windows & Doors Toronto offers the best in replacement windows in Toronto and the GTA. Our goal is to provide replacement windows style choices for Toronto homeowners while also ensuring the top-quality of our products. We provide this by offering many different designs for vinyl windows. From bungalows to mansions, our windows and doors will always fit right in. All our options for windows in Toronto meet the highest standards for energy efficiency.\nBusiness Hours:\nMon-Sun: 9:00am - 5:00pm\nFor more information, please contact us with the following details:\nContact Telephone:\n+1 416-650-5070']","['Org1', 'Canada, Concord, ON L4K 1M1']","['Org1', ['Other']]","['Org1', 'None']",None,None,"['Org1', '1993/01/1']",None,"['Org1', 'None']",None
